"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Towards Emotionally Aware AI Smart Classroom: Current Issues and Directions for Engineering and Education","Y. Kim; T. Soyata; R. F. Behnagh","Department of Electrical and Computer Engineering, State University of New York at Albany, Albany, NY, USA; Department of Electrical and Computer Engineering, State University of New York at Albany, Albany, NY, USA; Department of Educational Theory and Practice, State University of New York at Albany, Albany, NY, USA","IEEE Access","","2018","6","","5308","5331","Future smart classrooms that we envision will significantly enhance learning experience and seamless communication among students and teachers using real-time sensing and machine intelligence. Existing developments in engineering have brought the state-of-the-art to an inflection point, where they can be utilized as components of a smart classroom. In this paper, we propose a smart classroom system that consists of these components. Our proposed system is capable of making real-time suggestions to an in-class presenter to improve the quality and memorability of their presentation by allowing the presenter to make real-time adjustments/corrections to their non-verbal behavior, such as hand gestures, facial expressions, and body language. We base our suggested system components on existing research in affect sensing, deep learning-based emotion recognition, and real-time mobile-cloud computing. We provide a comprehensive study of these technologies and determine the computational requirements of a system that incorporates these technologies. Based on these requirements, we provide a feasibility study of the system. Although the state-of-the-art research in most of the components we propose in our system are advanced enough to realize the system, the main challenge lies in: 1) the integration of these technologies into a holistic system design; 2) their algorithmic adaptation to allow real-time execution; and 3) quantification of valid educational variables for use in algorithms. In this paper, we discuss current issues and provide future directions in engineering and education disciplines to deploy the proposed system.","","","10.1109/ACCESS.2018.2791861","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8253436","Educational technology;emotion recognition;smart classroom;deep learning;real-time computing;mobile-cloud computing;meta-cognition","Real-time systems;Education;Engines;Machine learning;System analysis and design;Haptic interfaces;Visualization","cloud computing;computer aided instruction;distance learning;emotion recognition;engineering education;face recognition;gesture recognition;human computer interaction;learning (artificial intelligence);mobile computing","learning experience;real-time sensing;real-time suggestions;in-class presenter;real-time adjustments/corrections;real-time execution;system components;emotionally aware AI smart classroom;seamless communication;machine intelligence;affect sensing;deep learning-based emotion recognition;real-time mobile-cloud computing;computational requirements;engineering discipline;education discipline","","9","","185","","","","","IEEE","IEEE Journals"
"Automatic Detection of Ambiguous Software Requirements: An Insight","M. Q. Riaz; W. H. Butt; S. Rehman","Department of Computer Engineering, College of E&ME, National University of Science & Technology (NUST), Islamabad, Pakistan; Department of Computer Engineering, College of E&ME, National University of Science & Technology (NUST), Islamabad, Pakistan; Department of Computer Engineering, College of E&ME, National University of Science & Technology (NUST), Islamabad, Pakistan","2019 5th International Conference on Information Management (ICIM)","","2019","","","1","6","Requirements Engineering is one of the most important phases of the software development lifecycle. The success of the whole software project depends upon the quality of the requirements. But as we know that mostly the software requirements are stated and documented in the natural language. The requirements written in natural language can be ambiguous and inconsistent. These ambiguities and inconsistencies can lead to misinterpretations and wrong implementations in design and development phase. To address these issues a number of approaches, tools and techniques have been proposed for the automatic detection of natural language ambiguities form software requirement documents. However, to the best of our knowledge, there is very little work done to compare and analyze the differences between these tools and techniques. In this paper, we presented a state of art survey of the currently available tools and techniques for the automatic detection of natural language ambiguities from software requirements. We also focused on figuring out the popularity of different tools and techniques on the basis of citations. This research will help the practitioners and researchers to get the latest insights in the above-mentioned context.","","","10.1109/INFOMAN.2019.8714682","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8714682","natural language requirement;requirement engineering;ambiguity;natural language ambiguity;ambiguous software requirements;natural language processing","Software;Tools;Natural language processing;Documentation;Knowledge based systems;Machine learning","formal specification;natural language processing;software quality;systems analysis","development phase;automatic detection;natural language ambiguities;software requirement documents;ambiguous software requirements;Requirements Engineering;software development lifecycle;software project","","","","46","","","","","IEEE","IEEE Conferences"
"Which One to Read? Factors Influencing the Usefulness of Online Reviews for RE","E. B. Charrada","Dept. of Inf., Univ. of Zurich, Zurich, Switzerland","2016 IEEE 24th International Requirements Engineering Conference Workshops (REW)","","2016","","","46","52","Reviews for software products contain much information about the users' requirements and preferences, which can be very useful to the requirements engineer. However, taking advantage of this information is not easy due to the large and overwhelming number of reviews that is posted in various channels. Machine learning and opinion mining techniques have therefore been used to process the reviews automatically and to generate summaries of the data to the requirements engineer. However, one of the important challenges for these techniques lies in how to automatically assess the relevance of the reviews for the requirements engineer. So far, most techniques use intuition-based criteria for this task. In this work, we collect and present a list of factors that were found to impact the helpfulness of product reviews for customers. We then discuss to what extent these factors are likely to impact the usefulness of reviews for requirements engineering tasks. The factors can be used to support the automated identification of relevant reviews.","","","10.1109/REW.2016.022","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=7815605","","Requirements engineering;Software;Conferences;Data mining;Extremities;Quality assessment;Product design","data mining;formal specification;formal verification;information analysis;learning (artificial intelligence);software reviews","online reviews;RE;software products;machine learning;opinion mining techniques;intuition-based criteria;requirements engineering tasks;automated identification","","2","","47","","","","","IEEE","IEEE Conferences"
"What do Support Analysts Know About Their Customers? On the Study and Prediction of Support Ticket Escalations in Large Software Organizations","L. Montgomery; D. Damian","NA; NA","2017 IEEE 25th International Requirements Engineering Conference (RE)","","2017","","","362","371","Understanding and keeping the customer happy is a central tenet of requirements engineering. Strategies to gather, analyze, and negotiate requirements are complemented by efforts to manage customer input after products have been deployed. For the latter, support tickets are key in allowing customers to submit their issues, bug reports, and feature requests. Whenever insufficient attention is given to support issues, however, their escalation to management is time-consuming and expensive, especially for large organizations managing hundreds of customers and thousands of support tickets. Our work provides a step towards simplifying the job of support analysts and managers, particularly in predicting the risk of escalating support tickets. In a field study at our large industrial partner, IBM, we used a design science methodology to characterize the support process and data available to IBM analysts in managing escalations. Through iterative cycles of design and evaluation, we translated our understanding of support analysts' expert knowledge of their customers into features of a support ticket model to be implemented into a Machine Learning model to predict support ticket escalations. We trained and evaluated our Machine Learning model on over 2.5 million support tickets and 10,000 escalations, obtaining a recall of 79.9% and an 80.8% reduction in the workload for support analysts looking to identify support tickets at risk of escalation. Further on-site evaluations, through a prototype tool we developed to implement our Machine Learning techniques in practice, showed more efficient weekly support-ticket-management meetings. The features we developed in the Support Ticket Model are designed to serve as a starting place for organizations interested in implementing our model to predict support ticket escalations, and for future researchers to build on to advance research in escalation prediction.","","","10.1109/RE.2017.61","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8049142","Customer relationship management;machine learning;escalation prediction;customer support ticket","Organizations;Analytical models;Software;Predictive models;Iron;Customer relationship management;Computer bugs","customer services;learning (artificial intelligence);software development management;software maintenance","Machine Learning model;support ticket model;support ticket escalations;customer input;managing escalations;weekly support-ticket-management meetings;design science methodology;escalation risk;machine learning techniques;design cycle;escalation cycle","","5","","25","","","","","IEEE","IEEE Conferences"
"Experiment on automatic functional requirements analysis with the EFRF's semantic cases","Y. Wang; J. Zhang","School of Information Management and Engineering, Shanghai University of Finance and Economics, Shanghai, China; School of Information Management and Engineering, Shanghai University of Finance and Economics, Shanghai, China","2016 International Conference on Progress in Informatics and Computing (PIC)","","2016","","","636","642","Software requirements analysis is crucial for any software project and it is the basis of requirements reuse within Software Product Line engineering. Software requirements specifications are usually expressed in natural language, which are informal, imprecise and ambiguous, thus analyzing them automatically is a challenging task. Although methods towards automatic analysis of software requirements have been studied before, many of them have limitations and effective researches in this area are still lacking. Therefore, in this paper a new approach was proposed to automatically extract structured information of functional requirements from Software Requirements Specifications in natural language. The methods of machine learning, natural language processing and semantic analysis were employed and combined in this approach. With a 10-fold cross validation setting, the method was evaluated on a manually annotated corpus. The experiments show that this approach achieves a good performance. Moreover, it was found that the model trained on the requirements dataset of the E-commerce systems, can be used to extract semantic information from the requirements of auto-maker systems. The cross-domain extraction results show that the method of this paper is domain independent and robust to some extent.","","","10.1109/PIC.2016.7949577","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=7949577","requirements engineering;functional requirements extraction;EFRF;semantic analysis","Software;Semantics;Tagging;Natural languages;Feature extraction;Stakeholders;Labeling","electronic commerce;formal specification;information retrieval;learning (artificial intelligence);natural language processing;software management;software product lines;text analysis","cross-domain extraction;auto-maker systems;semantic information extraction;E-commerce systems;manually annotated corpus;10-fold cross validation;semantic analysis;natural language processing;machine learning;automatic structured information extraction;automatic software requirements analysis;software requirements specifications;requirements reuse;software product line engineering;software project;software requirements analysis;EFRF;automatic functional requirements analysis","","1","","22","","","","","IEEE","IEEE Conferences"
"Extending Nocuous Ambiguity Analysis for Anaphora in Natural Language Requirements","H. Yang; A. de Roeck; V. Gervasi; A. Willis; B. Nuseibeh","Dept. of Comput., Open Univ., Milton Keynes, UK; Dept. of Comput., Open Univ., Milton Keynes, UK; Dept. of Comput. Sci., Univ. of Pisa, Pisa, Italy; Dept. of Comput., Open Univ., Milton Keynes, UK; Dept. of Comput., Open Univ., Milton Keynes, UK","2010 18th IEEE International Requirements Engineering Conference","","2010","","","25","34","This paper presents an approach to automatically identify potentially nocuous ambiguities, which occur when text is interpreted differently by different readers of requirements written in natural language. We extract a set of anaphora ambiguities from a range of requirements documents, and collect multiple human judgments on their interpretations. The judgment distribution is used to determine if an ambiguity is nocuous or innocuous. We investigate a number of antecedent preference heuristics that we use to explore aspects of anaphora which may lead a reader to favour a particular interpretation. Using machine learning techniques, we build an automated tool to predict the antecedent preference of noun phrase candidates, which in turn is used to identify nocuous ambiguity. We report on a series of experiments that we conducted to evaluate the performance of our automated system. The results show that the system achieves high recall with a consistent improvement on baseline precision subject to some ambiguity tolerance levels, allowing us to explore and highlight realistic and potentially problematic ambiguities in actual requirements documents.",";","","10.1109/RE.2010.14","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=5636921","nocuous ambiguity;NL requirements;anaphora ambiguity;antecedent preference heuristics;machine learning","Syntactics;Semantics;Humans;Prototypes;Context;Manuals;Pragmatics","formal specification;formal verification;learning (artificial intelligence);natural languages;systems analysis","nocuous ambiguity analysis;anaphora;natural language requirement;requirements document;human judgment;judgment distribution;antecedent preference heuristics;machine learning technique;noun phrase;automated system;baseline precision","","18","","25","","","","","IEEE","IEEE Conferences"
"From User Demand to Software Service: Using Machine Learning to Automate the Requirements Specification Process","L. van Rooijen; F. S. Bäumer; M. C. Platenius; M. Geierhos; H. Hamann; G. Engels","Dept. of Comput. Sci., Paderborn Univ., Paderborn, Germany; Heinz Nixdorf Inst., Paderborn Univ., Paderborn, Germany; Dept. of Comput. Sci., Paderborn Univ., Paderborn, Germany; Heinz Nixdorf Inst., Paderborn Univ., Paderborn, Germany; Inst. of Comput. Eng., Univ. of Lubeck, Lubeck, Germany; Dept. of Comput. Sci., Paderborn Univ., Paderborn, Germany","2017 IEEE 25th International Requirements Engineering Conference Workshops (REW)","","2017","","","379","385","Bridging the gap between informal, imprecise, and vague user requirements descriptions and precise formalized specifications is the main task of requirements engineering. Techniques such as interviews or story telling are used when requirements engineers try to identify a user's needs. The requirements specification process is typically done in a dialogue between users, domain experts, and requirements engineers. In our research, we aim at automating the specification of requirements. The idea is to distinguish between untrained users and trained users, and to exploit domain knowledge learned from previous runs of our system. We let untrained users provide unstructured natural language descriptions, while we allow trained users to provide examples of behavioral descriptions. In both cases, our goal is to synthesize formal requirements models similar to statecharts. From requirements specification processes with trained users, behavioral ontologies are learned which are later used to support the requirements specification process for untrained users. Our research method is original in combining natural language processing and search-based techniques for the synthesis of requirements specifications. Our work is embedded in a larger project that aims at automating the whole software development and deployment process in envisioned future software service markets.","","","10.1109/REW.2017.26","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8054881","","Software;Unified modeling language;Requirements engineering;Ontologies;Search problems;Natural languages","formal specification;learning (artificial intelligence);natural language processing;ontologies (artificial intelligence);software development management;systems analysis","untrained users;trained users;formal requirements models;requirements engineering;unstructured natural language description;behavioral descriptions;behavioral ontologies;search-based technique;software deployment process automation;software development process automation;software service markets","","1","","22","","","","","IEEE","IEEE Conferences"
"Ambiguous Software Requirement Specification Detection: An Automated Approach","M. H. Osman; M. F. Zaharin","NA; NA","2018 IEEE/ACM 5th International Workshop on Requirements Engineering and Testing (RET)","","2018","","","33","40","Software requirement specification (SRS) document is the most crucial document in software development process. All subsequent steps in software development are influenced by this document. However, issues in requirement, such as ambiguity or incomplete specification may lead to misinterpretation of requirements which consequently, influence the testing activities and higher the risk of time and cost overrun of the project. Finding defects in the initial development phase is crucial since the defect that found late is more expensive than if it was found early. This study describes an automated approach for detecting ambiguous software requirement specification. To this end, we propose the combination of text mining and machine learning. Since the dataset is derived from Malaysian industrial SRS documents, this study only focuses on the Malaysian context. We used text mining for feature extraction and for preparing the training set. Based on this training set, the method `learns' to detect the ambiguous requirement specification. In this paper, we study a set of nine (9) classification algorithms from the machine learning community and evaluate which algorithm performs best to detect the ambiguous software requirement specification. Based on the experiment's result, we develop a working prototype which later is used for our initial validation of our approach. The initial validation shows that the result produced by the classification model is reasonably acceptable. Even though this study is an experimental benchmark, we optimist that this approach may contributes to enhance the quality of SRS.","","","","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8444122","Software Engineering;Requirement Engineering;Machine Learning;Text Mining","Conferences;Requirements engineering;Testing","data mining;feature extraction;formal specification;learning (artificial intelligence);pattern classification;project management;software development management;software engineering;software quality;text analysis","automated approach;text mining;Malaysian industrial SRS documents;training set;ambiguous software requirement specification detection;software requirement specification document;crucial document;software development process;initial development phase;machine learning;feature extraction;classification algorithms;working prototype;classification model","","","","29","","","","","IEEE","IEEE Conferences"
"Towards a requirements engineering artefact model in the context of big data software development projects: Research in progress","D. Arruda; N. H. Madhavji","Department of Computer Science, University of Western Ontario, London, Canada; Department of Computer Science, University of Western Ontario, London, Canada","2017 IEEE International Conference on Big Data (Big Data)","","2017","","","2314","2319","There is ample literature that suggests that the field of Big Data is growing rapidly. Also, there is emerging literature on the need to create end-user Big Data applications, as distinct from “data analytics” that typically employs machine learning algorithms to find value in large datasets for the stakeholder. A solid foundation for creating sound applications is a thorough understanding of domain and artefact models that embody artefact types and activities involved in a software project. This paper focuses on the Requirements Engineering (RE) aspect of a Big Data software project. Currently, there are no known RE artefact models to support RE process design and project understanding. To fill this void, this paper proposes a RE artefact model for Big Data end-user applications (BD-REAM). The paper also describes a method for creating the artefact model, including the basic elements and inter-relationships involved in the model.","","","10.1109/BigData.2017.8258185","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8258185","Big Data;Requirements Engineering;Artefact Model;Big Data Requirements Engineering Artfect Model","Big Data;Software;Requirements engineering;Data models;Unified modeling language;Software engineering;Stakeholders","Big Data;formal specification","end-user Big Data applications;data analytics;process design;requirements engineering artefact model;Big Data software development projects;RE artefact models;BD-REAM","","","","36","","","","","IEEE","IEEE Conferences"
"Goals at risk? Machine learning at support of early assessment","P. Avesani; A. Perini; A. Siena; A. Susi","Fondazione Bruno Kessler, Trento-Povo, I-38123 Italy; Fondazione Bruno Kessler, Trento-Povo, I-38123 Italy; Fondazione Bruno Kessler, Trento-Povo, I-38123 Italy; Fondazione Bruno Kessler, Trento-Povo, I-38123 Italy","2015 IEEE 23rd International Requirements Engineering Conference (RE)","","2015","","","252","255","A relevant activity in the requirements engineering process consists in the identification, assessment and management of potential risks, which can prevent the system-to-be from meeting stakeholder needs. However, risk analysis techniques are often time- and resource- consuming activities, which may introduce in the requirements engineering process a significant overhead. To overcome this problem, we aim at supporting risk management activity in a semi-automated way, merging the capability to exploit existing risk-related information potentially present in a given organisation, with an automated ranking of the goals with respect to the level of risk the decision-maker estimates for them. In particular, this paper proposes an approach to address the general problem of risk decision-making, which combines knowledge about risks assessment techniques and Machine Learning to enable an active intervention of human evaluators in the decision process, learning from their feedback and integrating it with the organisational knowledge. The long term objective is that of improving the capacity of an organisation to be aware and to manage risks, by introducing new techniques in the field of risk management that are able to interactively and continuously extract useful knowledge from the organisation domain and from the decision-maker expertise.",";","","10.1109/RE.2015.7320432","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=7320432","","Risk management;Decision making;Requirements engineering;Approximation methods;Open source software;Yttrium","decision making;formal specification;knowledge acquisition;learning (artificial intelligence)","machine learning;requirements engineering process;potential risk identification;potential risk assessment;potential risk management;risk analysis techniques;risk-related information;automated ranking;decision-maker;risks assessment techniques;human evaluators;decision process;organisational knowledge;knowledge extraction","","1","","9","","","","","IEEE","IEEE Conferences"
"Early failure prediction in feature request management systems","C. Fitzgerald; E. Letier; A. Finkelstein","Dept. of Computer Science, University College London, London, United Kingdom; Dept. of Computer Science, University College London, London, United Kingdom; Dept. of Computer Science, University College London, London, United Kingdom","2011 IEEE 19th International Requirements Engineering Conference","","2011","","","229","238","Online feature request management systems are popular tools for gathering stakeholder requirements during system evolution. Deciding which feature requests require attention and how much upfront analysis to perform on them is an important problem in this context: too little upfront analysis may result in inadequate functionalities being developed, costly changes, and wasted development effort; too much upfront analysis is a waste of time and resources. Early predictions about which feature requests are most likely to fail due to insufficient or inadequate upfront analysis could facilitate such decisions. Our objective is to study whether it is possible to make such predictions automatically from the characteristics of the online discussions on feature requests. The paper presents a tool-implemented framework that automatically constructs failure prediction models using machine-learning classification algorithms and compares the performance of the different techniques for the Firefox and Netbeans projects. The comparison relies on a cost-benefit model for assessing the value of additional upfront analysis. In this model, the value of additional upfront analysis depends on its probability of success in preventing failures and on the relative cost of the failures it prevents compared to its own cost. We show that for reasonable estimations of these two parameters automated prediction models provide more value than a set of baselines for some failure types and projects. This suggests that automated failure prediction during online requirements elicitation may be a promising approach for guiding requirements engineering efforts in online settings.",";;","","10.1109/RE.2011.6051658","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=6051658","Early failure prediction;Cost-benefit of requirements engineering;Feature requests management systems;Global software development;Open source","Predictive models;Fires;Analytical models;Educational institutions;Feature extraction;Mathematical model","formal verification;learning (artificial intelligence);pattern classification","early failure prediction;online feature request management systems;machine-learning classification algorithms;cost-benefit model;requirements engineering","","8","","23","","","","","IEEE","IEEE Conferences"
"Which Feature is Unusable? Detecting Usability and User Experience Issues from User Reviews","E. Bakiu; E. Guzman","Tech. Univ. Munchen, Munich, Germany; Univ. of Zurich, Zurich, Switzerland","2017 IEEE 25th International Requirements Engineering Conference Workshops (REW)","","2017","","","182","187","Usability and user experience (UUX) strongly affect software quality and success. User reviews allow software users to report UUX issues. However, this information can be difficult to access due to the varying quality of the reviews, its large numbers and unstructured nature. In this work we propose an approach to automatically detect the UUX strengths and issues of software features according to user reviews. We use a collocation algorithm for extracting the features, lexical sentiment analysis for uncovering users' satisfaction about a particular feature and machine learning for detecting the specific UUX issues affecting the software application. Additionally, we present two visualizations of the results. An initial evaluation of the approach against human judgement obtained mixed results.","","","10.1109/REW.2017.76","","https://ieeexplore.ieee.org.ezproxy.cdigital.uv.mx:8443/stamp/stamp.jsp?arnumber=8054850","user feedback;software evolution;text mining;user experience;usability","Feature extraction;Usability;Data mining;Visualization;Software algorithms;Sentiment analysis","feature extraction;human factors;learning (artificial intelligence);sentiment analysis;software quality","software users;software features;user reviews;software application;user experience issues;software quality;Usability and user experience;UUX;collocation algorithm;feature extraction;lexical sentiment analysis;machine learning","","1","","37","","","","","IEEE","IEEE Conferences"
