Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Challenges for Requirements Engineering of Cyber-Physical Systems in Distributed Environments","Advances in Production Management Systems: Innovative Production Management Towards Sustainable Growth","","","","10.1007/978-3-319-22759-7_6","Stefan WiesnerJannicke Baalsrud HaugeKlaus-Dieter Thoben","2015","http://link.springer.com/chapter/10.1007/978-3-319-22759-7_6","Chapter"
"The Unfulfilled Potential of Data-Driven Decision Making in Agile Software Development","Agile Processes in Software Engineering and Extreme Programming","","","","10.1007/978-3-030-19034-7_5","Richard Berntsson SvenssonRobert FeldtRichard Torkar","2019","http://link.springer.com/chapter/10.1007/978-3-030-19034-7_5","Chapter"
"What Shall I Do Next?","Advanced Information Systems Engineering","","","","10.1007/978-3-319-07881-6_32","Elena V. EpureCharlotte HugRebecca DeneckéreSjaak Brinkkemper","2014","http://link.springer.com/chapter/10.1007/978-3-319-07881-6_32","Chapter"
"ICT Requirements Analysis for Enterprise Networks Supporting Solar Power Plants","Collaborative Networks in the Internet of Services","","","","10.1007/978-3-642-32775-9_15","Hamideh AfsarmaneshVictor Thamburaj","2012","http://link.springer.com/chapter/10.1007/978-3-642-32775-9_15","Chapter"
"PERSONA - A Personalized Data Protection Framework","Trust Management VII","","","","10.1007/978-3-642-38323-6_22","Marina EgeaFederica PaciMarinella PetrocchiNicola Zannone","2013","http://link.springer.com/chapter/10.1007/978-3-642-38323-6_22","Chapter"
"Software Assurance in an Uncertain World","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-030-16722-6_1","Marsha ChechikRick SalayTorin VigerSahar KokalyMona Rahimi","2019","http://link.springer.com/chapter/10.1007/978-3-030-16722-6_1","Chapter"
"Towards a Unified Definition of Open Source Quality","Open Source Systems: Grounding Research","","","","10.1007/978-3-642-24418-6_2","Claudia RuizWilliam Robinson","2011","http://link.springer.com/chapter/10.1007/978-3-642-24418-6_2","Chapter"
"Automatic Top-Down Role Engineering Framework Using Natural Language Processing Techniques","Information Security Theory and Practice","","","","10.1007/978-3-319-24018-3_9","Masoud NaroueiHassan Takabi","2015","http://link.springer.com/chapter/10.1007/978-3-319-24018-3_9","Chapter"
"Analyzing Variability of Software Product Lines Using Semantic and Ontological Considerations","Advanced Information Systems Engineering","","","","10.1007/978-3-319-07881-6_11","Iris Reinhartz-BergerNili ItzikYair Wand","2014","http://link.springer.com/chapter/10.1007/978-3-319-07881-6_11","Chapter"
"Automated Integration of Service-Oriented Software Systems","Fundamentals of Software Engineering","","","","10.1007/978-3-319-24644-4_2","Marco AutiliPaola InverardiMassimo Tivoli","2015","http://link.springer.com/chapter/10.1007/978-3-319-24644-4_2","Chapter"
"OptiMathSAT: A Tool for Optimization Modulo Theories","Computer Aided Verification","","","","10.1007/978-3-319-21690-4_27","Roberto SebastianiPatrick Trentin","2015","http://link.springer.com/chapter/10.1007/978-3-319-21690-4_27","Chapter"
"A Goal Driven Framework for Software Project Data Analytics","Advanced Information Systems Engineering","","","","10.1007/978-3-642-38709-8_35","George ChatzikonstantinouKostas KontogiannisIoanna-Maria Attarian","2013","http://link.springer.com/chapter/10.1007/978-3-642-38709-8_35","Chapter"
"Supporting Customs Controls by Means of Service-Oriented Auditing","Building the e-World Ecosystem","","","","10.1007/978-3-642-27260-8_3","Hans WeigandFaiza Allah Bukhsh","2011","http://link.springer.com/chapter/10.1007/978-3-642-27260-8_3","Chapter"
"Web Engineering for Cloud Computing","Current Trends in Web Engineering","","","","10.1007/978-3-642-35623-0_2","Giovanni Toffetti","2012","http://link.springer.com/chapter/10.1007/978-3-642-35623-0_2","Chapter"